舰船名,别名,启用,稀有度@zh（类型：exact）,稀有度@en（类型：exact）,阵营@zh（类型：exact）,阵营@en（类型：exact）,舰种@zh（类型：exact）,舰种@en（类型：exact）,舰级@zh（类型：exact）,舰级@en（类型：exact）,建造时间@zh（类型：ordered）,实装活动@zh（类型：ordered）,实装活动@en（类型：ordered）
追风,椎、Oite,是,稀有,Rare,重樱,Sakura Empire,驱逐,DD,神风级,Kamikaze,00:20:00,无活动,No Event
风云,枟、Kazagumo,是,超稀有,Super Rare,重樱,Sakura Empire,驱逐,DD,夕云级,Yuugumo,00:27:00,2021-06-24 复刻：浮樱影华,2021-06-24 Swirling Cherry Blossoms Rerun
若月,若、Wakatsuki,是,超稀有,Super Rare,重樱,Sakura Empire,驱逐,DD,秋月级,Akizuki,00:29:00,2022-09-15 紫绛槿岚,"2022-09-15 Violet Tempest, Blooming Lycoris"
初月,檚、Hatsuzuki,是,超稀有,Super Rare,重樱,Sakura Empire,驱逐,DD,秋月级,Akizuki,00:29:00,2023-09-14 须臾望月抄,2023-09-14 Effulgence Before Eclipse
朝凪,桎、Asanagi,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,神风级,Kamikaze,无法建造,2023-09-14 须臾望月抄,2023-09-14 Effulgence Before Eclipse
凉波,椋、Suzunami,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,夕云级,Yuugumo,00:27:00,2024-09-12 唤醒苍红之炎,2024-09-12 Ode of Everblooming Crimson
妙风,杪、Taekaze,是,精锐,Elite,重樱,Sakura Empire,驱逐,DD,夕云级,Yuugumo,无法建造,2025-09-12 起舞于天原之上,2025-09-12 A Dance for Amahara Above
夕张,狐、Yūbari、Yuubari,是,精锐,Elite,重樱,Sakura Empire,轻巡,CL,夕张级,Yuubari,01:12:00,无活动,No Event
长良,貊、Nagara,是,普通,Normal,重樱,Sakura Empire,轻巡,CL,长良级,Nagara,01:05:00,无活动,No Event
五十铃,貉、Isuzu,是,稀有,Rare,重樱,Sakura Empire,轻巡,CL,长良级,Nagara,无法建造,无活动,No Event
名取,猽、Natori,是,精锐,Elite,重樱,Sakura Empire,轻巡,CL,长良级,Nagara,01:05:00,2023-09-14 须臾望月抄,2023-09-14 Effulgence Before Eclipse
由良,㹨、Yura,是,精锐,Elite,重樱,Sakura Empire,轻巡,CL,长良级,Nagara,01:05:00,2021-09-16 碧海光粼,2021-09-16 Upon the Shimmering Blue
鬼怒,猤、Kinu,是,精锐,Elite,重樱,Sakura Empire,轻巡,CL,长良级,Nagara,无法建造,2019-12-26 浮樱影华,2019-12-26 Swirling Cherry Blossoms
阿武隈,貃、Abukuma,是,普通,Normal,重樱,Sakura Empire,轻巡,CL,长良级,Nagara,无法建造,无活动,No Event
最上,猨、Mogami,是,精锐,Elite,重樱,Sakura Empire,轻巡,CL,最上型,Mogami,无法建造,2018-03-29 复刻：红染的参访者,2018-03-29 Visitors Dyed in Red Rerun
三隈,狻、Mikuma,是,精锐,Elite,重樱,Sakura Empire,轻巡,CL,最上型,Mogami,无法建造,2018-03-29 复刻：红染的参访者,2018-03-29 Visitors Dyed in Red
川内,貆、Sendai,是,稀有,Rare,重樱,Sakura Empire,轻巡,CL,川内级,Sendai,无法建造,无活动,No Event
神通,貎、Jintsū、Jintsuu,是,精锐,Elite,重樱,Sakura Empire,轻巡,CL,川内级,Sendai,无法建造,无活动,No Event
那珂,豻、Naka,是,稀有,Rare,重樱,Sakura Empire,轻巡,CL,川内级,Sendai,01:20:00,2018-12-27 苍红的回响,2018-12-27 Crimson Echoes
阿贺野,豼、Agano,是,精锐,Elite,重樱,Sakura Empire,轻巡,CL,阿贺野级,Agano,无法建造,无活动,No Event
能代,貅、Noshiro,是,超稀有,Super Rare,重樱,Sakura Empire,轻巡,CL,阿贺野级,Agano,01:20:00,2019-12-26 浮樱影华,2019-12-26 Swirling Cherry Blossoms
酒匂,貄、Sakawa,是,超稀有,Super Rare,重樱,Sakura Empire,轻巡,CL,阿贺野级,Agano,01:20:00,2022-09-15 紫绛槿岚,"2022-09-15 Violet Tempest, Blooming Lycoris"
能代(μ兵装),貅(μ兵装)、Noshiro、Noshiro µ,是,超稀有,Super Rare,重樱,Sakura Empire,轻巡,CL,阿贺野级,Agano,01:20:00,2024-04-25 共鸣的PASSION,2024-04-25 Heart-Linking Harmony
渡良濑,獭、Watarase,是,超稀有,Super Rare,重樱,Sakura Empire,轻巡,CL,改阿贺野级,Watarase,01:22:00,2024-09-12 唤醒苍红之炎,2024-09-12 Ode of Everblooming Crimson
绫濑,狑、Ayase,是,精锐,Elite,重樱,Sakura Empire,轻巡,CL,川内级,Sendai,无法建造,2024-09-12 唤醒苍红之炎,2024-09-12 Ode of Everblooming Crimson
水无濑,鼯、Minase,是,精锐,Elite,重樱,Sakura Empire,轻巡,CL,川内级,Sendai,01:22:00,2025-09-12 起舞于天原之上,2025-09-12 A Dance for Amahara Above
古鹰,狼、Furutaka,是,普通,Normal,重樱,Sakura Empire,重巡,CA,古鹰级,Furutaka,无法建造,无活动,No Event
加古,狌、Kako,是,普通,Normal,重樱,Sakura Empire,重巡,CA,古鹰级,Furutaka,无法建造,无活动,No Event
青叶,犹、Aoba,是,普通,Normal,重樱,Sakura Empire,重巡,CA,青叶级,Aoba,01:30:00,无活动,No Event
衣笠,猅、Kinugasa,是,普通,Normal,重樱,Sakura Empire,重巡,CA,青叶级,Aoba,01:30:00,无活动,No Event
筑摩,狘、Chikuma,是,超稀有,Super Rare,重樱,Sakura Empire,重巡,CA,利根级,Tone,02:05:00,2021-09-16 碧海光粼,2021-09-16 Upon the Shimmering Blue
妙高,獌、Myōkō、Myoukou,是,稀有,Rare,重樱,Sakura Empire,重巡,CA,妙高级,Myoukou,无法建造,无活动,No Event
那智,狏、Nachi,是,稀有,Rare,重樱,Sakura Empire,重巡,CA,妙高级,Myoukou,无法建造,无活动,No Event
足柄,狳、Ashigara,是,精锐,Elite,重樱,Sakura Empire,重巡,CA,妙高级,Myoukou,01:55:00,2018-12-27 苍红的回响,2018-12-27 Crimson Echoes
羽黑,犰、Haguro,是,精锐,Elite,重樱,Sakura Empire,重巡,CA,妙高级,Myoukou,01:55:00,2022-09-15 紫绛槿岚,"2022-09-15 Violet Tempest, Blooming Lycoris"
高雄,獒、Takao,是,超稀有,Super Rare,重樱,Sakura Empire,重巡,CA,高雄级,Takao,02:05:00,无活动,No Event
爱宕,犬、Atago,是,超稀有,Super Rare,重樱,Sakura Empire,重巡,CA,高雄级,Takao,无法建造,2017-06-07 努力、希望和计划,"2017-06-07 Strive, Wish and Strategize"
摩耶,犮、Maya,是,超稀有,Super Rare,重樱,Sakura Empire,重巡,CA,高雄级,Takao,无法建造,无活动,No Event
鸟海,猋、Chōkai、Choukai,是,超稀有,Super Rare,重樱,Sakura Empire,重巡,CA,高雄级,Takao,无法建造,无活动,No Event
铃谷,狺、Suzuya,是,精锐,Elite,重樱,Sakura Empire,重巡,CA,最上型,Mogami,01:48:00,2019-03-28 复刻：墨染的钢铁之花,2019-03-28 Ink-Stained Steel Sakura Rerun
熊野,猁、Kumano,是,精锐,Elite,重樱,Sakura Empire,重巡,CA,最上型,Mogami,无法建造,2020-09-17 蝶海梦花,2020-09-17 Dreamwaker's Butterfly
云仙,猃、Unzen,是,海上传奇,Ultra Rare,重樱,Sakura Empire,重巡,CA,云仙级,Unzen,02:11:00,2023-09-14 须臾望月抄,2023-09-14 Effulgence Before Eclipse
浅间,猏、Asama,是,超稀有,Super Rare,重樱,Sakura Empire,重巡,CA,伊吹级,Ibuki,02:10:00,2025-09-12 起舞于天原之上,2025-09-12 A Dance for Amahara Above
金刚,鲤、Kongō、Kongou,是,精锐,Elite,重樱,Sakura Empire,战巡,BC,金刚级,Kongou,无法建造,2018-06-07 墨染的钢铁之花,2018-06-07 Ink-Stained Steel Sakura
比叡,鲟、Hiei,是,精锐,Elite,重樱,Sakura Empire,战巡,BC,金刚级,Kongou,04:10:00,2017-12-01 归来与新生,2017-12-01 The Return of the War God
榛名,鲑、Haruna,是,精锐,Elite,重樱,Sakura Empire,战巡,BC,金刚级,Kongou,无法建造,2018-06-07 墨染的钢铁之花,2018-06-07 Ink-Stained Steel Sakura
雾岛,鳗、Kirishima,是,精锐,Elite,重樱,Sakura Empire,战巡,BC,金刚级,Kongou,04:10:00,无活动,No Event
天城,鳐、Amagi,是,超稀有,Super Rare,重樱,Sakura Empire,战巡,BC,天城级,Amagi,04:25:00,2018-12-27 苍红的回响,2018-12-27 Crimson Echoes
小比叡,小鲟、Hiei-chan,是,精锐,Elite,重樱,Sakura Empire,战巡,BC,金刚级,Kongou,04:05:00,2019-04-26 虚拟链接的共时性,2019-04-26 Escape from the Port
小天城,小鳐、Amagi-chan,是,精锐,Elite,重樱,Sakura Empire,战巡,BC,天城级,Amagi,04:25:00,2021-04-22 复兴的赞美诗,2021-04-22 Young Tactician's Learning Log
金刚(μ兵装),鲤(μ兵装)、Kongō、Kongou µ,是,精锐,Elite,重樱,Sakura Empire,战巡,BC,金刚级,Kongou,04:10:00,2024-04-25 共鸣的PASSION,2024-04-25 Heart-Linking Harmony
扶桑,魟、Fusō、Fusou,是,稀有,Rare,重樱,Sakura Empire,战列,BB,扶桑级,Fusou,无法建造,无活动,No Event
山城,鲼、Yamashiro,是,稀有,Rare,重樱,Sakura Empire,战列,BB,扶桑级,Fusou,无法建造,无活动,No Event
伊势,鳌、Ise,是,稀有,Rare,重樱,Sakura Empire,战列,BB,伊势级,Ise,04:25:00,2017-09-28 红染的参访者,2017-09-28 Visitors Dyed in Red
日向,螯、Hyūga、Hyuuga,是,稀有,Rare,重樱,Sakura Empire,战列,BB,伊势级,Ise,04:25:00,2017-09-28 红染的参访者,2017-09-28 Visitors Dyed in Red
长门,鲨、Nagato,是,超稀有,Super Rare,重樱,Sakura Empire,战列,BB,长门型,Nagato,无法建造,2018-06-07 墨染的钢铁之花,2018-06-07 Ink-Stained Steel Sakura
陆奥,鲛、Mutsu,是,精锐,Elite,重樱,Sakura Empire,战列,BB,长门型,Nagato,无法建造,2018-06-07 墨染的钢铁之花,2018-06-07 Ink-Stained Steel Sakura
加贺BB,鸾、Kaga、Kaga(BB),是,超稀有,Super Rare,重樱,Sakura Empire,战列,BB,加贺级,Tosa,04:30:00,2018-12-27 苍红的回响,2018-12-27 Crimson Echoes
土佐,䲠、Tosa,是,超稀有,Super Rare,重樱,Sakura Empire,战列,BB,加贺级,Tosa,04:30:00,2020-04-23 复刻：苍红的回响,2020-04-23 Crimson Echoes Rerun
武藏,鳄、Musashi,是,海上传奇,Ultra Rare,重樱,Sakura Empire,战列,BB,大和级,Yamato,05:15:00,2022-09-15 紫绛槿岚,"2022-09-15 Violet Tempest, Blooming Lycoris"
三笠,鲐、Mikasa,是,超稀有,Super Rare,重樱,Sakura Empire,战列,BB,敷岛级,Mikasa,无法建造,2017-12-01 归来与新生,2017-12-01 The Return of the War God
纪伊,鲣、Kii,是,超稀有,Super Rare,重樱,Sakura Empire,战列,BB,纪伊级,Kii,04:20:00,2020-09-17 蝶海梦花,2020-09-17 Dreamwaker's Butterfly
尾张,鳂、Owari,是,超稀有,Super Rare,重樱,Sakura Empire,战列,BB,纪伊级,Kii,04:20:00,2023-09-14 须臾望月抄,2023-09-14 Effulgence Before Eclipse
骏河,鲪、Suruga,是,超稀有,Super Rare,重樱,Sakura Empire,战列,BB,纪伊级,Kii,04:20:00,2019-12-26 浮樱影华,2019-12-26 Swirling Cherry Blossoms
近江,鳉、Ōmi、Oumi,是,超稀有,Super Rare,重樱,Sakura Empire,战列,BB,纪伊级,Kii,04:20:00,2025-09-12 起舞于天原之上,2025-09-12 A Dance for Amahara Above
飞鹰,鸱、Hiyō、Hiyou,是,稀有,Rare,重樱,Sakura Empire,轻航,CVL,飞鹰级,Hiyou,无法建造,无活动,No Event
隼鹰,鸢、Jun'yō、Junyou,是,稀有,Rare,重樱,Sakura Empire,轻航,CVL,飞鹰级,Hiyou,无法建造,无活动,No Event
凤翔,凤、Hōshō、Houshou,是,精锐,Elite,重樱,Sakura Empire,轻航,CVL,凤翔级,Houshou,无法建造,无活动,No Event
瑞凤,鹳、Zuihō、Zuihou,是,超稀有,Super Rare,重樱,Sakura Empire,轻航,CVL,千岁级,Zuihou,02:22:00,2024-08-29 埋葬于彼岸之花,2024-08-29 Whence Flowers Bear No Fruit
祥凤,鹞、Shōhō、Shouhou,是,稀有,Rare,重樱,Sakura Empire,轻航,CVL,祥凤级,Shouhou,无法建造,无活动,No Event
龙骧,枭、Ryūjō、Ryuujou,是,精锐,Elite,重樱,Sakura Empire,轻航,CVL,龙骧级,Ryuujou,无法建造,2018-12-20 斯图尔特的硝烟,2018-12-20 The Solomon Ranger
龙凤,鸗、Ryūhō、Ryuuhou,是,超稀有,Super Rare,重樱,Sakura Empire,轻航,CVL,千岁级,Zuihou,02:22:00,2019-12-26 浮樱影华,2019-12-26 Swirling Cherry Blossoms
千岁,鹂、Chitose,是,精锐,Elite,重樱,Sakura Empire,轻航,CVL,千岁级,Zuihou,02:15:00,2020-09-17 蝶海梦花,2020-09-17 Dreamwaker's Butterfly
千代田,鹃、Chiyoda,是,精锐,Elite,重樱,Sakura Empire,轻航,CVL,千岁级,Zuihou,02:15:00,2020-09-17 蝶海梦花,2020-09-17 Dreamwaker's Butterfly
赤城,凰、Akagi,是,超稀有,Super Rare,重樱,Sakura Empire,航母,CV,赤城级,Akagi,无法建造,无活动,No Event
加贺,鸾、Kaga,是,超稀有,Super Rare,重樱,Sakura Empire,航母,CV,加贺级,Kaga,无法建造,无活动,No Event
苍龙,蛟、Sōryū、Souryuu,是,精锐,Elite,重樱,Sakura Empire,航母,CV,苍龙级,Souryuu,无法建造,无活动,No Event
飞龙,龙、Hiryū、Hiryuu,是,精锐,Elite,重樱,Sakura Empire,航母,CV,飞龙级,Hiryuu,无法建造,无活动,No Event
翔鹤,鹬、Shōkaku、Shoukaku,是,超稀有,Super Rare,重樱,Sakura Empire,航母,CV,翔鹤级,Shoukaku,无法建造,2017-09-28 红染的参访者,2017-09-28 Visitors Dyed in Red
瑞鹤,鹤、Zuikaku,是,超稀有,Super Rare,重樱,Sakura Empire,航母,CV,翔鹤级,Shoukaku,无法建造,2017-09-28 红染的参访者,2017-09-28 Visitors Dyed in Red
大凤,鹩、Taihō、Taihou,是,超稀有,Super Rare,重樱,Sakura Empire,航母,CV,大凤级,Taihou,04:45:00,2018-09-14 大青花鱼的涂鸦板,2018-09-14 1 Year Anniversary
信浓,鵗、Shinano,是,海上传奇,Ultra Rare,重樱,Sakura Empire,航母,CV,大和级,Yamato,05:15:00,2020-09-17 蝶海梦花,2020-09-17 Dreamwaker's Butterfly
小赤城,小凰、Akagi-chan,是,精锐,Elite,重樱,Sakura Empire,航母,CV,赤城级,Akagi,04:35:00,2019-04-26 虚拟链接的共时性,2019-04-26 Escape from the Port
赤城(μ兵装),凰(μ兵装)、Akagi、Akagi µ,是,超稀有,Super Rare,重樱,Sakura Empire,航母,CV,赤城级,Akagi,04:40:00,2019-10-31 激奏的Polaris,2019-10-31 Crescendo of Polaris
大凤(μ兵装),鹩(μ兵装)、Taihō、Taihou µ,是,超稀有,Super Rare,重樱,Sakura Empire,航母,CV,大凤级,Taihou,04:45:00,2020-10-29 激唱的UNIVERSE,2020-10-29 Universe in Unison
葛城,鹖、Katsuragi,是,超稀有,Super Rare,重樱,Sakura Empire,航母,CV,云龙级,Unryuu,04:20:00,2021-09-16 碧海光粼,2021-09-16 Upon the Shimmering Blue
小大凤,小鹩、TAIHOU-CHAN、Taihou-chan,是,精锐,Elite,重樱,Sakura Empire,航母,CV,大凤级,Taihou,无法建造,2023-06-01 庆典与金色乐章,2023-06-01 Passionate Confession Practice
小信浓,小鵗、Shinano-chan,是,精锐,Elite,重樱,Sakura Empire,航母,CV,大和级,Yamato,无法建造,2024-04-25 共鸣的PASSION,2024-04-25 Sharing Sweet Slumbers
天城CV,鳐、Amagi、Amagi(CV),是,海上传奇,Ultra Rare,重樱,Sakura Empire,航母,CV,天城级,Amagi(CV),04:40:00,2024-09-12 唤醒苍红之炎,2024-09-12 Ode of Everblooming Crimson
白凤,䳆、Hakuhō、Hakuhou,是,海上传奇,Ultra Rare,重樱,Sakura Empire,航母,CV,大凤级,Taihou,05:00:00,2025-09-12 起舞于天原之上,2025-09-12 A Dance for Amahara Above
伊19,衣玖、I19、I-19,是,超稀有,Super Rare,重樱,Sakura Empire,潜艇,SS,巡潜乙型,Type B1,00:30:00,无活动,No Event
伊26,双叶梦、I26、I-26,是,精锐,Elite,重樱,Sakura Empire,潜艇,SS,巡潜乙型,Type B1,00:30:00,无活动,No Event
伊58,冴矢、I58、I-58,是,精锐,Elite,重樱,Sakura Empire,潜艇,SS,改二型,Type B3,00:30:00,无活动,No Event
伊25,双叶檎、I25、I-25,是,精锐,Elite,重樱,Sakura Empire,潜艇,SS,巡潜乙型,Type B1,00:30:00,2019-07-11 破交作战,2019-07-11 Air Raid Drills with Essex
伊56,冴梦、I56、I-56,是,精锐,Elite,重樱,Sakura Empire,潜艇,SS,改二型,Type B3,00:30:00,2019-07-11 破交作战,2019-07-11 Air Raid Drills with Essex
伊168,伊吕波、I168、I-168,是,超稀有,Super Rare,重樱,Sakura Empire,潜艇,SS,型a型,Kaidai,00:30:00,2019-07-11 破交作战,2019-07-11 Air Raid Drills with Essex
明石,茗、Akashi,是,超稀有,Super Rare,重樱,Sakura Empire,维修,AR,明石级,Akashi,01:35:00,无活动,No Event
伊13,十纱、I13、I-13,是,超稀有,Super Rare,重樱,Sakura Empire,潜母,SSV,改二型,Type AM,00:34:00,2019-03-28 复刻：墨染的钢铁之花,2019-03-28 Ink-Stained Steel Sakura Rerun
伊404,诗玲寺、I404、I-404,是,海上传奇,Ultra Rare,重樱,Sakura Empire,潜母,SSV,潜特型,I-400,无法建造,2025-09-12 起舞于天原之上,2025-09-12 A Dance for Amahara Above
樫野,㭴、Kashino,是,精锐,Elite,重樱,Sakura Empire,运输,AE,樫野级,Kashino,01:30:00,2020-09-17 蝶海梦花,2020-09-17 Dreamwaker's Butterfly
伊吹,峦、Ibuki,是,最高方案,Priority,重樱,Sakura Empire,重巡,CA,伊吹级,Ibuki,科研,2018-04-26 第十二章-马里亚纳风云•上,2018-04-26 Season 1
出云,侌、Izumo,是,最高方案,Priority,重樱,Sakura Empire,战列,BB,大和级,Izumo,科研,2018-04-26 第十二章-马里亚纳风云•上,2018-04-26 Season 1
北风,苝、Kitakaze,是,最高方案,Priority,重樱,Sakura Empire,驱逐,DD,超秋月级,Kitakaze,科研,2019-04-18 开发船坞,2019-04-18 Season 2
吾妻,猉、Azuma,是,决战方案,Decisive,重樱,Sakura Empire,超巡,CB,吾妻级,Azuma,科研,2019-04-18 开发船坞,2019-04-18 Season 2
白龙,鹫、Hakuryū、Hakuryuu,是,决战方案,Decisive,重樱,Sakura Empire,航母,CV,改大凤型,Hakuryuu,科研,2021-07-08 开发船坞,2021-07-08 Season 4
四万十,虒、Shimanto,是,最高方案,Priority,重樱,Sakura Empire,轻巡,CL,150mm主炮防空型,Shimanto,科研,2023-07-13 密语档案室,2023-07-13 Season 6
大山,鳝、Daisen,是,最高方案,Priority,重樱,Sakura Empire,战列,BB,大山级,Daisen,科研,2024-07-11 开发船坞,2024-07-11 Season 7
Z1,莉泽洛特、Leberecht Maass,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1934型,Type 1934,无法建造,无活动,No Event
Z2,格尔达、Georg Thiele,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1934型,Type 1934,00:29:00,2019-03-07 峡湾间的星辰,2019-03-07 Stars of the Shimmering Fjord
Z9,沃尔普加、Wolfgang Zenker,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1934A型,Type 1934A,无法建造,2024-12-19 星光下的余晖,2024-12-19 Substellar Crepuscule
Z11,伯莎、Bernd von Arnim,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1934A型,Type 1934A,00:28:00,2024-12-19 星光下的余晖,2024-12-19 Substellar Crepuscule
Z13,埃丝特、Erich Koellner,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1934A型,Type 1934A,无法建造,2025-06-26 迷彩都市的寻踪者,2025-06-26 The Neon City Investigator
Z16,弗蕾德贡、Friedrich Eckoldt,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1934A型,Type 1934A,00:28:00,2022-08-18 远汇点作战,2022-08-18 Operation Convergence
Z18,汉娜、Hans Lüdemann,是,稀有,Rare,铁血,Iron Blood,驱逐,DD,1936型,Type 1936,无法建造,2018-07-17 月光下的序曲,2018-07-17 Counterattack Within the Fjord
Z19,赫尔米娜、Hermann Künne,是,稀有,Rare,铁血,Iron Blood,驱逐,DD,1936型,Type 1936,00:31:00,2017-08-02 异色格,2017-08-02 Divergent Chessboard
Z20,卡洛琳、Karl Galster,是,普通,Normal,铁血,Iron Blood,驱逐,DD,1936型,Type 1936,无法建造,2017-08-02 异色格,2017-08-02 Divergent Chessboard
Z21,威尔赫米娜、Wilhelm Heidkamp,是,普通,Normal,铁血,Iron Blood,驱逐,DD,1936型,Type 1936,无法建造,2017-08-02 异色格,2017-08-02 Divergent Chessboard
Z23,妮米,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1936A型,Type 1936A,00:33:00,无活动,No Event
Z24,妮丝,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1936A型,Type 1936A,无法建造,2020-12-29 负象限作战,2020-12-29 Inverted Orthant
Z25,妮可,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1936A型,Type 1936A,无法建造,2018-06-28 复刻：异色格,2018-06-28 Divergent Chessboard
Z26,妮露,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1936A型,Type 1936A,00:33:00,2020-08-20 复刻：铁血、音符&誓言,2020-08-20 Scherzo of Iron and Blood Rerun
Z28,妮娅,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1936A型,Type 1936A,无法建造,2020-12-29 负象限作战,2020-12-29 Inverted Orthant
Z35,咪菓,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1936B型,Type 1936B,无法建造,2018-06-28 复刻：异色格,2018-06-28 Divergent Chessboard
Z36,咪露,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1936B型,Type 1936B,00:35:00,2019-05-23 铁血、音符&誓言,2019-05-23 Scherzo of Iron and Blood
Z43,希咪,是,精锐,Elite,铁血,Iron Blood,驱逐,DD,1936B型,Type 1936B,无法建造,2024-06-27 欢迎来到童心学院,2024-06-27 Welcome to Little Academy
Z46,希露,是,超稀有,Super Rare,铁血,Iron Blood,驱逐,DD,1936C型,Type 1936C,无法建造,2017-08-02 异色格,2017-08-02 Divergent Chessboard
Z47,希娜,是,超稀有,Super Rare,铁血,Iron Blood,驱逐,DD,1936C型,Type 1936C,00:39:00,2024-06-27 欢迎来到童心学院,2024-06-27 Welcome to Little Academy
Z52,柯妮,是,海上传奇,Ultra Rare,铁血,Iron Blood,驱逐,DD,1944型,Type 1944,无法建造,2024-12-19 星光下的余晖,2024-12-19 Substellar Crepuscule
奥托·冯·阿尔文斯莱本,奥莉薇娅·冯·阿诺德、Otto von Alvensleben,是,超稀有,Super Rare,铁血,Iron Blood,驱逐,DD,1937J型,Type 1937J,00:40:00,2023-05-25 空相交汇点,2023-05-25 Confluence of Nothingness
柯尼斯堡,阿尔伯缇娜、Königsberg,是,普通,Normal,铁血,Iron Blood,轻巡,CL,柯尼斯堡级,Königsberg,01:10:00,无活动,No Event
卡尔斯鲁厄,夏璐尔、Karlsruhe,是,普通,Normal,铁血,Iron Blood,轻巡,CL,柯尼斯堡级,Königsberg,01:10:00,无活动,No Event
科隆,克劳迪亚、Köln,是,普通,Normal,铁血,Iron Blood,轻巡,CL,柯尼斯堡级,Königsberg,01:10:00,无活动,No Event
莱比锡,莉普莎、Leipzig,是,稀有,Rare,铁血,Iron Blood,轻巡,CL,莱比锡级,Leipzig,01:20:00,无活动,No Event
纽伦堡,诺菈、Nürnberg,是,精锐,Elite,铁血,Iron Blood,轻巡,CL,莱比锡级,Leipzig,01:20:00,2020-12-29 负象限作战,2020-12-29 Inverted Orthant
马格德堡,马格达莱娜、Magdeburg,是,超稀有,Super Rare,铁血,Iron Blood,轻巡,CL,M级,M (German),01:20:00,2021-12-29 逆转彩虹之塔,2021-12-29 Tower of Transcendence
埃姆登,埃玛、Emden,是,超稀有,Super Rare,铁血,Iron Blood,轻巡,CL,柯尼斯堡级,Dresden,01:19:00,2022-04-28 虹彩的终幕曲,2022-04-28 Rondo at Rainbow's End
埃尔宾,埃尔薇菈、Elbing,是,精锐,Elite,铁血,Iron Blood,轻巡,CL,皮劳级,Pillau,01:17:00,2022-04-28 虹彩的终幕曲,2022-04-28 Rondo at Rainbow's End
雷根斯堡,瑞吉娜、Regensburg,是,超稀有,Super Rare,铁血,Iron Blood,轻巡,CL,M级,M (German),01:20:00,2023-05-25 空相交汇点,2023-05-25 Confluence of Nothingness
杜伊斯堡,多琳妮娅、Duisburg,是,超稀有,Super Rare,铁血,Iron Blood,轻巡,CL,M级,M (German),01:20:00,2024-12-19 星光下的余晖,2024-12-19 Substellar Crepuscule
希佩尔海军上将,芙兰希卡、Admiral Hipper,是,精锐,Elite,铁血,Iron Blood,重巡,CA,希佩尔海军上将级,Admiral Hipper,无法建造,2017-08-02 异色格,2017-08-02 Divergent Chessboard
布吕歇尔,布丽吉特、Blücher,是,超稀有,Super Rare,铁血,Iron Blood,重巡,CA,希佩尔海军上将级,Admiral Hipper,02:00:00,2022-08-18 远汇点作战,2022-08-18 Operation Convergence
欧根亲王,萨沃伊亲王、Prinz Eugen,是,超稀有,Super Rare,铁血,Iron Blood,重巡,CA,希佩尔海军上将级,Admiral Hipper,02:00:00,2017-05-25,2017-05-25 Divergent Chessboard
德意志,亚勒玛妮亚、Deutschland,是,精锐,Elite,铁血,Iron Blood,重巡,CA,德意志级,Deutschland,01:55:00,2017-08-02 异色格,2017-08-02 Divergent Chessboard
斯佩伯爵海军上将,休贝塔伯爵、Admiral Graf.Spee、Admiral Graf Spee,是,精锐,Elite,铁血,Iron Blood,重巡,CA,德意志级,Deutschland,无法建造,2018-01-19 围剿斯佩伯爵,2018-01-19 Encircling Graf Spee
希佩尔海军上将(μ兵装),芙兰希卡(μ兵装)、Admiral Hipper、Admiral Hipper µ,是,精锐,Elite,铁血,Iron Blood,重巡,CA,希佩尔海军上将级,Admiral Hipper,02:00:00,2019-10-31 激奏的Polaris,2019-10-31 Crescendo of Polaris
罗恩(μ兵装),艾伯塔(μ兵装)、Roon、Roon µ,是,超稀有,Super Rare,铁血,Iron Blood,重巡,CA,罗恩(μ兵装)级,Roon,无法建造,2020-10-29 激唱的UNIVERSE,2020-10-29 Universe in Unison
海因里希亲王,赫莉米娜亲王、Prinz Heinrich,是,超稀有,Super Rare,铁血,Iron Blood,重巡,CA,P级,P,02:05:00,2020-12-29 负象限作战,2020-12-29 Inverted Orthant
阿达尔伯特亲王,阿德莉娅亲王、Prinz Adalbert,是,超稀有,Super Rare,铁血,Iron Blood,重巡,CA,P级,P,02:05:00,2021-12-29 逆转彩虹之塔,2021-12-29 Tower of Transcendence
约克DE,伊冯娜、Yorck,是,精锐,Elite,铁血,Iron Blood,重巡,CA,罗恩级,Roon (1903),01:55:00,2022-04-28 虹彩的终幕曲,2022-04-28 Rondo at Rainbow's End
小欧根,小萨沃伊、Little Prinz Eugen,是,精锐,Elite,铁血,Iron Blood,重巡,CA,希佩尔海军上将级,Admiral Hipper,无法建造,2022-04-28 虹彩的终幕曲,2022-04-28 Sugary-Sweet Käsekuchen
